location,f_counts,fmin_price,fmax_price,fmean_price
12th Avenue,1,30000000,30000000,30000000.0
7th Avenue,3,90000,43000000,14423333.333333334
9th Avenue,2,85000,7500000,3792500.0
Abdullah Garden,2,19000,24000,21500.0
Agha Shahi Avenue,1,25000,25000,25000.0
Ali Pur,1,25000,25000,25000.0
B-17,270,10000,10300000,3288018.5185185187
Bahria Town,284,13000,87000000,5894133.802816901
Bani Gala,63,16000,18000000,1391595.238095238
Bhara kahu,9,18000,6500000,4220888.888888889
Blue Area,20,24000,48000000,16810300.0
C-18,4,3500000,3500000,3500000.0
CBR Town,4,8000,4000000,1730750.0
Capital Enclave,2,3360000,11200000,7280000.0
Central Avenue,1,50000,50000,50000.0
Chak Shahzad,10,10000,4000000,2546000.0
Chatha Bakhtawar,1,12000,12000,12000.0
Chattar,11,21000,14000000,3110727.272727273
D-12,22,18000,15000000,6185772.7272727275
D-17,125,8000,9500000,3302592.0
D-18,4,12000,2000000,511250.0
DHA Defence,902,11000,40500000,4510759.977827051
Diplomatic Enclave,170,40000,100500000,11010870.588235294
E-11,1169,10000,30000000,2518161.24893071
E-12,2,38000,6700000,3369000.0
E-16,1,2800000,2800000,2800000.0
E-18,1,1900000,1900000,1900000.0
E-7,2,95000,115000,105000.0
Embassy Road,1,9000000,9000000,9000000.0
Engineering Co-operative Housing (ECHS),3,23000,2000000,682000.0
F-10,296,24000,62000000,9877260.135135135
F-11,714,16000,52500000,7328292.016806723
F-15,4,37000,3800000,2784250.0
F-17,51,12000,6000000,2676568.6274509802
F-6,4,35000,55000000,13840000.0
F-7,6,32000,185000,82666.66666666667
F-8,205,18000,140000000,9798146.341463415
F-9,2,250000,50000000,25125000.0
FECHS,27,10000,9000000,3162666.6666666665
Faisal Town - F-18,9,4400000,15700000,7239444.444444444
Federal Government Employees Housing Foundation,1,24000,24000,24000.0
G-10,66,22000,10500000,3876166.6666666665
G-11,596,10000,142000000,6663941.275167786
G-12,4,12000,25000,15250.0
G-13,94,13500,28000000,6176558.510638298
G-14,3,2500000,2500000,2500000.0
G-15,404,7000,20500000,5006727.722772277
G-16,1,12000,12000,12000.0
G-5,17,45000,50000000,8070352.94117647
G-6,1,40000,40000,40000.0
G-7,12,11000,15000000,6341500.0
G-8,24,13000,16000000,4093916.6666666665
G-9,17,22000,18000000,2874882.3529411764
GT Road,19,28000,10000000,4368578.947368421
Ghauri Town,28,11000,95400000,5050946.428571428
Green Avenue,4,22000,45000,32250.0
Gulberg,412,22000,32400000,6202546.1165048545
Gulshan-e-Khudadad,4,33000,15000000,5017000.0
H-11,1,5000000,5000000,5000000.0
H-12,7,35000,8500000,4404285.714285715
H-13,197,10000,17500000,3866878.1725888327
I-10,15,10000,6500000,639166.6666666666
I-11,18,20000,7000000,4345472.222222222
I-12,16,1500000,35000000,5585312.5
I-14,3,15000,15000,15000.0
I-16,14,2338000,6500000,3509857.1428571427
I-8,68,25000,80000000,4354750.0
I-9,8,20000,35000,25375.0
IJP Road,4,17000,8000000,2812250.0
Ibn-e-Sina Road,2,35000,45000,40000.0
Islamabad - Murree Expressway,17,22000,14500000,7159647.05882353
Islamabad Expressway,42,20000,22000000,5839571.428571428
Islamabad Highway,65,40000,21500000,8608276.923076924
"Islamabad, Islamabad Capital",1,4300000,4300000,4300000.0
Jinnah Avenue,5,18400000,35000000,28680000.0
Karakoram Diplomatic Enclave,39,140000,66000000,19334769.230769232
Karakoram Enclave 1,1,55000000,55000000,55000000.0
Kashmir Highway,9,70000,27500000,10547555.555555556
Khanna Pul,3,9000,15000000,5503000.0
Koral Chowk,3,36000,4000000,2012000.0
Korang Road,2,12000,10000000,5006000.0
Korang Town,18,12000,4000000,2329777.777777778
Kuri Road,8,10000,27000,16625.0
Lawyers Society,1,5800000,5800000,5800000.0
Lehtarar Road,4,8000,6800000,1708750.0
Malpur,2,20000,20000,20000.0
Motorway Chowk,2,10000,2500000,1255000.0
Multi Residencia & Orchards,1,400000,400000,400000.0
Murree Road,1,8000000,8000000,8000000.0
NHA Housing Society,1,200000,200000,200000.0
National Police Foundation,16,12000,5500000,1350750.0
National Police Foundation O-9,16,7000,3600000,1443375.0
Naval Anchorage,3,10500,20000,15166.666666666666
Nazim-ud-din Road,1,42000,42000,42000.0
New Airport Town,1,16000,16000,16000.0
Others,6,4900000,21000000,8986666.666666666
PWD Housing Scheme,47,6000,4500000,1459138.2978723405
PWD Road,22,9000,4000000,1872545.4545454546
Pakistan Town,49,7000,4500000,1280918.3673469387
Park Road,2,2600000,2750000,2675000.0
Pir Sohawa,17,55000,15000000,4708764.705882353
Qutbal Town,2,12000,2450000,1231000.0
Rawal Enclave,1,200000,200000,200000.0
River Garden,72,2400000,16000000,5265097.222222222
Shah Allah Ditta,2,10000000,11500000,10750000.0
Shehzad Town,2,16000,18000,17000.0
Soan Garden,94,9000,7200000,1559484.0425531915
Sohan Valley,1,5250000,5250000,5250000.0
Swan Garden,4,55000,3000000,1788750.0
Taramrri,3,9500,2632000,884500.0
Thalian,1,5000000,5000000,5000000.0
The Springs,17,45000,16000000,7480176.470588235
Top City 1,8,80000,14000000,4867500.0
University Town,2,1500000,1880000,1690000.0
Victoria Heights,1,25000,25000,25000.0
Zaraj Housing Scheme,22,10000,6000000,2223690.909090909
Zero Point,8,40000,14500000,6770000.0
