location,lp_counts,lpmin_price,lpmax_price,lpmean_price
7th Avenue,2,30000,55000,42500.0
9th Avenue,3,35000,200000,96666.66666666667
AGHOSH,1,35000,35000,35000.0
Ali Pur,1,15000,15000,15000.0
B-17,16,25000,55000,33125.0
Bahria Town,73,25000,110000,44561.643835616436
Bani Gala,140,16000,90000,32228.571428571428
Bhara kahu,13,11000,65000,27076.923076923078
Blue Area,3,100000,3500000,1433333.3333333333
Burma Town,1,3000000,3000000,3000000.0
CBR Town,27,22000,40000,28296.296296296296
Chatha Bakhtawar,18,12000,32000,20500.0
D-12,100,20000,95000,51980.0
D-17,6,22000,30000,26000.0
DHA Defence,254,23000,180000,52667.32283464567
E-11,404,20000,200000,68428.21782178218
E-14,1,18000,18000,18000.0
E-18,1,40000,40000,40000.0
E-7,7,120000,250000,150714.2857142857
F-10,108,45000,180000,107731.48148148147
F-11,171,25000,200000,90707.60233918129
F-15,5,31000,50000,36600.0
F-17,13,20000,33000,26000.0
F-6,46,55000,252000,143413.04347826086
F-7,57,50000,290000,149964.91228070174
F-8,42,50000,285000,140547.61904761905
FECHS,58,10000,45000,22370.689655172413
G-10,82,20000,110000,52963.41463414634
G-11,257,22000,100000,42138.13229571984
G-13,422,18000,125000,39004.739336492894
G-14,42,17000,75000,31619.04761904762
G-15,129,22000,60000,32682.17054263566
G-16,12,35000,60000,46500.0
G-6,9,23000,120000,69000.0
G-7,3,32000,75000,47333.333333333336
G-8,10,26000,60000,42300.0
G-9,74,23000,350000,56594.59459459459
GT Road,1,26000,26000,26000.0
Ghauri Town,69,9000,45000,19500.0
Green Avenue,20,22000,65000,37050.0
Green Hills Housing Scheme,1,22000,22000,22000.0
Gulberg,2,40000,40000,40000.0
H-13,24,13500,5800000,262354.1666666667
I-10,313,12000,300000,32992.012779552715
I-13,5,16000,33000,25400.0
I-14,6,18000,28000,20666.666666666668
I-8,708,35000,300000,67805.08474576271
I-9,9,26000,35000,30555.555555555555
Ibn-e-Sina Road,2,38000,38000,38000.0
Islamabad Expressway,4,17000,58000,30250.0
Jhang Syedan,3,17000,20000,18000.0
Jhangi Syedan,1,21000,21000,21000.0
Kahuta Triangle Industrial Area,2,23000,23080,23040.0
Khanna Pul,2,15000,27000,21000.0
Koral Town,3,11000,20000,14000.0
Korang Road,3,28000,60000,39333.333333333336
Korang Town,29,17000,55000,28965.51724137931
Kuri Road,1,18000,18000,18000.0
Lehtarar Road,12,20000,23000,21333.333333333332
Madina Town,2,18000,40000,29000.0
Margalla Town,21,20000,65000,32952.380952380954
Meherban Colony,1,28000,28000,28000.0
National Police Foundation,11,17000,70000,37909.09090909091
National Police Foundation O-9,30,15000,48500,31283.333333333332
Naval Anchorage,26,20000,85000,47076.92307692308
PWD Housing Scheme,153,16000,50000,29071.895424836603
PWD Road,7,28000,40000,35142.857142857145
Pakistan Town,59,10000,7500000,152449.15254237287
Park Road,2,23000,25000,24000.0
Rawal Town,1,22000,22000,22000.0
River Garden,4,18000,40000,25250.0
Royal Avenue,5,20000,30000,24000.0
Shah Allah Ditta,1,22000,22000,22000.0
Shaheen Town,3,10000,30000,19000.0
Shahpur,1,20000,20000,20000.0
Shehzad Town,8,28000,32000,30375.0
Simly Dam Road,2,25000,50000,37500.0
Soan Garden,71,17000,45000,29070.422535211266
Sohan Valley,1,46000,46000,46000.0
Swan Garden,3,35000,62000,44000.0
Taramrri,1,13000,13000,13000.0
Tarlai,3,16000,30000,20666.666666666668
Zaraj Housing Scheme,3,35000,38000,36000.0
