location,ph_counts,phmin_price,phmax_price,phmean_price
12th Avenue,1,40000,40000,40000.0
B-17,1,4887000,4887000,4887000.0
Bahria Town,3,120000,9000000,5706666.666666667
Bhara kahu,2,45000,9000000,4522500.0
Blue Area,1,18000,18000,18000.0
D-17,2,6500000,6700000,6600000.0
DHA Defence,6,4100000,42500000,28733333.333333332
Diplomatic Enclave,1,400000,400000,400000.0
E-11,9,45000,30000000,4928888.888888889
F-10,8,375000,130000000,47196875.0
F-11,3,33000000,40000000,36000000.0
F-6,1,130000,130000,130000.0
F-8,2,120000,900000,510000.0
G-13,1,115000,115000,115000.0
G-8,2,30000,37000,33500.0
Ghauri Town,1,8500000,8500000,8500000.0
Gulberg,1,8500000,8500000,8500000.0
Islamabad Expressway,1,350000,350000,350000.0
River Garden,1,18000000,18000000,18000000.0
Shehzad Town,1,26000,26000,26000.0
Soan Garden,1,11500000,11500000,11500000.0
