location,r_counts,rmin_price,rmax_price,rmean_price
7th Avenue,12,5000,20000,13958.333333333334
9th Avenue,5,10000,35000,22000.0
Agha Shahi Avenue,1,10000,10000,10000.0
Al Huda Town,1,5500,5500,5500.0
Alipur Farash,1,6000,6000,6000.0
Ataturk Avenue,1,45000,45000,45000.0
Bahria Town,1,20000,20000,20000.0
Bani Gala,3,7000,12000,10333.333333333334
Bhara kahu,1,6000,6000,6000.0
Blue Area,1,20000,20000,20000.0
Chak Shahzad,1,12000,12000,12000.0
Chatha Bakhtawar,2,4000,10000,7000.0
D-12,2,15000,17500000,8757500.0
DHA Defence,7,8000,22000000,3159285.714285714
E-11,39,5000,25000,15910.25641025641
F-10,13,10000,40000,20846.153846153848
F-11,21,11000,45000,23380.95238095238
F-6,8,23000,60000,35625.0
F-7,11,1000,65000,31272.727272727272
F-8,22,9000,70000,32636.363636363636
FECHS,2,10000,25000,17500.0
Faisal Town - F-18,1,2500000,2500000,2500000.0
Fateh Jang Road,1,1700000,1700000,1700000.0
G-10,11,9000,27000,15590.90909090909
G-11,56,8000,6125000,123285.71428571429
G-13,14,10000,15000,12285.714285714286
G-14,1,10000,10000,10000.0
G-15,1,1200000,1200000,1200000.0
G-16,1,25000,25000,25000.0
G-6,12,18000,30000,22416.666666666668
G-7,2,10000,13000,11500.0
G-8,7,8500,26000,18357.14285714286
G-9,24,14000,80000,21125.0
Ghauri Town,4,6000,10000,8250.0
Golra Mor,1,3000000,3000000,3000000.0
Golra Road,1,17000,17000,17000.0
Gulshan-e-Khudadad,2,25000,25000,25000.0
H-13,5,8000,10000,9600.0
I-10,11,8000,15000,11772.727272727272
I-14,1,8000,8000,8000.0
I-8,36,7000,40000,21111.11111111111
I-9,4,16000,18000,17000.0
IJP Road,1,30000,30000,30000.0
Islamabad Highway,1,17000,17000,17000.0
Kuri Road,1,12000,12000,12000.0
Margalla Town,1,14000,14000,14000.0
PWD Housing Scheme,4,5000,8000,6375.0
PWD Road,1,9000,9000,9000.0
Royal Avenue,1,12000,12000,12000.0
Soan Garden,10,6000,10500000,1058750.0
Taramrri,2,6000,6000,6000.0
Zaraj Housing Scheme,2,12000,16000,14000.0
Zero Point,2,17000,50000,33500.0
