location,up_counts,upmin_price,upmax_price,upmean_price
12th Avenue,2,40000,40000,40000.0
7th Avenue,10,20000,6000000,665000.0
9th Avenue,6,25000,50000,29166.666666666668
Airport Avenue Housing Society,1,25000,25000,25000.0
Alipur Farash,1,12000,12000,12000.0
B-17,39,25000,65000,37641.02564102564
Bahria Town,100,26000,90000,47450.0
Bani Gala,160,8000,90000,33706.25
Bhara kahu,11,8000,65000,26181.81818181818
Burma Town,2,12000,45000,28500.0
C-14,1,45000,45000,45000.0
CBR Town,35,8000,40000,29371.428571428572
Chak Shahzad,2,28000,30000,29000.0
Chatha Bakhtawar,6,16000,25000,22000.0
D-12,125,15000,95000,55688.0
D-17,8,25000,38000,30625.0
D-18,1,40000,40000,40000.0
DHA Defence,577,20000,115000,44268.61351819758
Dhok Chaudhrian,1,22000,22000,22000.0
E-11,444,15000,65000000,221869.36936936938
E-14,1,4000000,4000000,4000000.0
E-7,18,85000,180000,143333.33333333334
F-10,200,50000,175000,83165.0
F-11,279,24000,200000,87125.44802867384
F-15,22,30000,55000,43681.818181818184
F-17,8,20000,32000,25812.5
F-6,63,45000,210000,120317.46031746031
F-7,76,40000,900000,129934.21052631579
F-8,139,60000,300000,136438.8489208633
FECHS,46,16000,120000,26934.782608695652
G-10,163,25000,120000,56450.920245398775
G-11,255,17000,17800000,119017.64705882352
G-13,401,18000,90000,41718.20448877806
G-14,29,18000,70000,40620.68965517241
G-15,189,15000,300000,39970.89947089947
G-16,8,28000,60000,46000.0
G-6,17,20000,120000,49647.05882352941
G-7,3,23000,55000,34333.333333333336
G-8,25,20000,65000,37120.0
G-9,119,23000,550000,52899.15966386555
Garden Town,1,15000,15000,15000.0
Ghauri Town,78,10000,45000,18673.076923076922
Green Avenue,10,23000,60000,40600.0
Gulberg,2,60000,60000,60000.0
Gulshan-e-Khudadad,1,12000,12000,12000.0
H-13,16,12000,30000,18812.5
I-10,248,14500,56000,28643.145161290322
I-13,1,16000,16000,16000.0
I-14,12,20000,27000,24416.666666666668
I-8,944,10000,61000000,131801.90677966102
I-9,20,22000,45000,31250.0
Islamabad Expressway,2,14000,45000,29500.0
Judicial Town,1,33000,33000,33000.0
Kashmir Highway,2,22000,25000,23500.0
Koral Chowk,3,15000,25000,19000.0
Korang Road,8,20000,62000,33625.0
Korang Town,66,18000,62000,30772.727272727272
Kuri Road,3,18000,25000,21000.0
Lehtarar Road,15,30000,46000,36866.666666666664
Madina Town,1,32000,32000,32000.0
Margalla Town,20,24000,48000,36300.0
Meherban Colony,1,21000,21000,21000.0
Murree Road,2,20000,30000,25000.0
National Police Foundation,10,25000,42000,33000.0
National Police Foundation O-9,77,15000,45000,30805.194805194806
National Town,1,13500,13500,13500.0
Naval Anchorage,50,20000,60000,39660.0
New Shakrial,1,15000,15000,15000.0
PAF Tarnol,1,40000,40000,40000.0
PWD Housing Scheme,123,12000,55000,28723.577235772358
PWD Road,3,33500,40000,36166.666666666664
Pakistan Town,61,17500,60000,29827.868852459018
Park Road,2,18000,28000,23000.0
Rawal Town,7,12000,45000,21285.714285714286
River Garden,1,18000,18000,18000.0
Royal City,2,22000,25000,23500.0
Shahpur,3,45000,45000,45000.0
Shehzad Town,8,17000,40000,31500.0
Soan Garden,80,10500,48000,27431.25
Taramrri,1,25000,25000,25000.0
Tarlai,1,23000,23000,23000.0
Tarnol,2,56000,60000,58000.0
