cat,cat_,cat_pair
0-5 ,0.0,"('0-5 ', 0.0)"
5-10 ,10.0,"('5-10 ', 10.0)"
1-5 ,1.0,"('1-5 ', 1.0)"
10-15 ,2.0,"('10-15 ', 2.0)"
15-20 ,4.0,"('15-20 ', 4.0)"
30-40 ,7.0,"('30-40 ', 7.0)"
90-100 ,18.0,"('90-100 ', 18.0)"
400-500 ,9.0,"('400-500 ', 9.0)"
60-70 ,13.0,"('60-70 ', 13.0)"
20-30 ,5.0,"('20-30 ', 5.0)"
50-60 ,11.0,"('50-60 ', 11.0)"
70-80 ,15.0,"('70-80 ', 15.0)"
40-50 ,8.0,"('40-50 ', 8.0)"
100-200 ,3.0,"('100-200 ', 3.0)"
80-90 ,17.0,"('80-90 ', 17.0)"
500-600 ,12.0,"('500-600 ', 12.0)"
200-300 ,6.0,"('200-300 ', 6.0)"
600-700 ,14.0,"('600-700 ', 14.0)"
700-800 ,16.0,"('700-800 ', 16.0)"
